ISIN,Name,0μs,100μs,500μs,1000μs,2000μs,3000μs,4000μs,5000μs,10000μs,15000μs,20000μs,30000μs,50000μs,100000μs
ES0165386014,ISIN_45,14.915000000000669,11.47000000000076,9.390000000000294,10.040000000000465,6.540000000000532,6.125000000000467,4.825000000000264,1.6200000000001502,1.330000000000208,1.330000000000208,1.330000000000208,1.330000000000208,1.9950000000003119,0.0
ES0167050915,ISIN_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0169501022,ISIN_47,2.0499999999998835,2.0499999999998835,1.4999999999999147,1.4999999999999147,1.4999999999999147,1.4999999999999147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0171996087,ISIN_48,4.935000000000747,4.935000000000747,4.935000000000747,5.915000000000925,5.915000000000925,4.7300000000007145,1.5800000000002221,1.510000000000236,0.4600000000000719,0.4600000000000719,0.4600000000000719,0.0,0.0,0.0
ES0173093024,ISIN_49,2.9799999999999365,2.9799999999999365,2.9799999999999365,2.9799999999999365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0173516115,ISIN_50,34.194999999995844,35.24999999999563,33.594999999997384,33.52999999999736,24.61999999999622,23.380000000000294,17.99499999999754,17.99499999999754,11.129999999998905,13.975000000001621,10.825000000001129,6.324999999999864,6.324999999999864,1.5849999999996847
ES0175438003,ISIN_51,1.6599999999999646,1.6599999999999646,1.6599999999999646,1.6599999999999646,1.6599999999999646,1.6599999999999646,1.6599999999999646,1.6599999999999646,0.0,0.0,0.0,0.0,0.0,0.0
ES0176252718,ISIN_52,0.20000000000003126,0.20000000000003126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0177542018,ISIN_53,670.2700000000019,678.2060000000022,648.1379999999963,612.1929999999873,587.3119999999897,566.9669999999893,492.4149999999834,408.62399999997643,341.05699999998916,301.8579999999789,312.45999999998594,170.91999999997773,124.04799999998026,95.34599999997639
ES0178165017,ISIN_54,15.399999999999672,10.019999999999786,10.019999999999786,8.159999999999826,5.459999999999884,2.759999999999941,1.3799999999999706,0.0,0.0,0.0,0.0,6.719999999999857,0.0,0.0
ES0178430E18,ISIN_55,7.867999999999348,8.0269999999994,10.420999999999893,12.123999999999706,12.123999999999706,9.279999999999262,7.014999999999512,5.3119999999997,4.669999999999486,4.669999999999486,1.7030000000005687,0.0,0.0,0.0
ES0180907000,ISIN_56,1.2640000000001415,1.2640000000001415,1.2640000000001415,1.2640000000001415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0182870214,ISIN_57,34.686000000000035,44.41000000000015,46.07800000000016,52.98399999999988,44.08399999999985,47.451999999999956,39.53400000000059,35.49000000000012,14.800000000000558,2.3100000000000125,4.797999999999739,0.0,0.0,0.0
ES0183746314,ISIN_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0184262212,ISIN_59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB00BNXJB679,ISIN_60,8.619999999999816,1.4599999999999689,1.4599999999999689,1.4599999999999689,1.4599999999999689,1.4599999999999689,1.4599999999999689,1.4599999999999689,1.4599999999999689,1.4599999999999689,1.4599999999999689,2.9200000000000674,2.9200000000000674,1.4599999999999689
LU0569974404,ISIN_61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU1598757687,ISIN_62,4.280000000001536,3.2100000000009885,3.2100000000009885,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817,0.919999999999817
NL0015001FS8,ISIN_64,14.279999999997223,14.159999999997247,10.859999999997903,0.47999999999996845,7.2399999999986235,13.419999999997394,9.579999999998158,0.18000000000002814,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,All ISINs,1378.880999999986,1360.2979999999911,1358.7649999999728,1335.27299999997,1239.0229999999785,1198.6779999999806,1022.5549999999791,854.2689999999692,663.4779999999864,535.4069999999803,521.9529999999972,295.604999999985,209.6580000000027,148.96399999998314
